,City Channel Cable Network TV  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,City Channel Cable Network TV  Monday
20,18:45  -  18:59,82275793,Eastern,Chipata,Rural,Male,1,None,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59"
21,10:15  -  10:29,82275793,Eastern,Chipata,Rural,Male,1,None,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59"
22,18:15  -  18:29,82275793,Eastern,Chipata,Rural,Male,1,None,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59"
23,12:30  -  12:44,82275793,Eastern,Chipata,Rural,Male,1,None,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59"
24,16:00  -  16:14,82275793,Eastern,Chipata,Rural,Male,1,None,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59"
25,19:00  -  19:14,82275793,Eastern,Chipata,Rural,Male,1,None,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59"
26,14:45  -  14:59,82275793,Eastern,Chipata,Rural,Male,1,None,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59"
27,11:30  -  11:44,82275793,Eastern,Chipata,Rural,Male,1,None,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59"
28,10:00  -  10:14,82275793,Eastern,Chipata,Rural,Male,1,None,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59"
29,14:00  -  14:14,82275793,Eastern,Chipata,Rural,Male,1,None,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59"
